year,municipality,department,total_cases
2013,"RÍO HONDO",ZACAPA,25
2013,"SAN JOSÉ LA ARADA",CHIQUIMULA,25
2013,"SAN PEDRO CARCHÁ","ALTA VERAPAZ",24
2013,"SAN MARTÍN ZAPOTITLÁN",RETALHULEU,24
2013,CHINAUTLA,GUATEMALA,23
2013,COMAPA,JUTIAPA,23
2013,"SAN MIGUEL CHICAJ","BAJA VERAPAZ",23
2013,"SAN CRISTÓBAL ACASAGUASTLÁN","EL PROGRESO",23
2013,"SANTA LUCÍA COTZUMALGUAPA",ESCUINTLA,22
2013,"SAN JOSÉ","EL PETEN",22
2013,"SANTA CATARINA PINULA",GUATEMALA,22
2013,SAMAYAC,SUCHITEPEQUEZ,22
2013,"SANTA CATARINA BARAHONA",SACATEPEQUEZ,22
2013,QUETZALTEPEQUE,CHIQUIMULA,21
2013,"SAN VICENTE PACAYA",ESCUINTLA,21
2013,GUANAGAZAPA,ESCUINTLA,21
2013,"SAN FELIPE",RETALHULEU,21
2013,ALOTENANGO,SACATEPEQUEZ,20
2013,ESTANZUELA,ZACAPA,19
2013,"SIQUINALÁ",ESCUINTLA,19
2013,CATARINA,"SAN MARCOS",18
2013,RAXRUHA,"ALTA VERAPAZ",17
2013,"SANTO TOMÁS LA UNIÓN",SUCHITEPEQUEZ,17
2013,"SAN JOSÉ ACATEMPA",JUTIAPA,17
2013,MASAGUA,ESCUINTLA,16
2013,IZTAPA,ESCUINTLA,16
2013,SANARATE,"EL PROGRESO",16
2013,"SANTO DOMINGO SUCHITEPÉQUEZ",SUCHITEPEQUEZ,16
2013,"RÍO BRAVO",SUCHITEPEQUEZ,15
2013,QUEZADA,JUTIAPA,15
2013,"EL JÍCARO","EL PROGRESO",14
2013,"SANTA CATARINA IXTAHUACÁN",SOLOLA,14
2013,"SAN LUCAS TOLIMÁN",SOLOLA,14
2013,ATESCATEMPA,JUTIAPA,13
2013,"SAN JORGE",ZACAPA,13
2013,"LA GOMERA",ESCUINTLA,12
2013,"SAN JUAN LA ERMITA",CHIQUIMULA,12
2013,"CIUDAD VIEJA",SACATEPEQUEZ,12
2013,"NENTÓN",HUEHUETENANGO,11
